What is your primary means of transportation to and from the U. Washington?,"On average, how many minutes does it take you to get to the U. Washington from your home?","In an average week, how many days are you on the UW campus?",How often do you… [use the light rail or bus?],How often do you… [go to downtown Seattle?],How often do you… [use a mobile phone while walking?],How often do you… [travel on a road that requires a toll?],How often do you… [use a Lime Bike/Uber e-bike?],"On average, how many days in a week (out of 7 days) do you use Uber/Lyft or other ride hailing apps?",What is your primary reason for using an Uber/Lyft?,"In the past 7 days, how many rides did you hail using an Uber/Lyft app? ","In the past 7 days, how much did you spend on Uber/Lyft or other ride hailing apps (in US dollars)?",How often do you: [share an Uber/Lyft ride with someone you did not know],How often do you: [work or do homework in an Uber/Lyft],How often do you: [observe the Uber/Lyft driver talk on their cell phone while driving],How often do you: [observe the Uber/Lyft driver violating a traffic law],How often do you: [rate the Uber/Lyft driver],"On average, how many days in a week (out of 7 days) do you drive?",Please rate how often you do the following activities. [Speed up at a yellow traffic light],Please rate how often you do the following activities. [Honk at the vehicle in front],Please rate how often you do the following activities. [Drive 5 miles over the posted speed],Please rate how often you do the following activities. [Drive 10 miles over the posted speed],Please rate how often you do the following activities. [Check your phone while driving],Please rate how often you do the following activities. [Use your phone when stopped at an intersection],Please rate how often you do the following activities. [Interact with in-vehicle entertainment systems while driving],Please indicate how much you agree or disagree with the following statements. [My driving skills are better than the average person],Please indicate how much you agree or disagree with the following statements. [Bicyclists should not be riding in the same lanes as cars],Please indicate how much you agree or disagree with the following statements. [Driving next to large trucks is stressful],"In the past 5 years, how many times have you been involved in a car crash? ","In the past 5 years, how many times have you received a ticket for a moving violation? ",Please indicate how much you agree or disagree with the following statements. [I choose my mode of transport based on weather],Please indicate how much you agree or disagree with the following statements. [I am often frustrated with Seattle traffic],Please indicate how much you agree or disagree with the following statements. [Autonomous (driverless) cars will be safer than human operated cars],Please indicate how much you agree or disagree with the following statements. [Pedestrians should not look at their mobile phones while walking],Please indicate how much you agree or disagree with the following statements. [Bicyclists in Seattle are too aggressive],Please indicate how much you agree or disagree with the following statements. [Seattle public transportation is reliable],Please indicate how much you agree or disagree with the following statements. [I think the UW provides a quality education],How often... [does traffic impact the time you arrive at work/school],How often... [does the traffic impact the time you leave work/school],"How often... [do you properly sort waste into trash, recyclables and compost]",Are you:,Are you:,How old are you?,Do you rent or own your current living space?,What navigation app do you use most often?,Do you live with a significant other or other family members?,How many people live in your household?,How many children under 6 years old live in your household?,How many vehicles are in your household?  ,Do you have a US driver's license?,How old were you when you got your driver's license?,Are you a:,Do you plan to vote in the next presidential election? 
Walk,10,Every weekday (M-F),Often,Sometimes,Sometimes,Sometimes,Never,1,Weather-related,1,8,Often,Never,Never,Never,Sometimes,1,Often,Sometimes,Sometimes,Often,Sometimes,Often,Often,Somewhat agree,Somewhat agree,Somewhat agree,0,1,Somewhat agree,Neither agree nor disagree,Somewhat agree,Strongly agree,Neither agree nor disagree,Somewhat agree,Somewhat agree,Sometimes,Sometimes,Often,Student,Male,24,Rent,Google Maps,Yes,3,0,0,Yes,20,Other non-US citizen status,
Walk,5,Every weekday (M-F),Often,Rarely,Always,Never,Never,0,,,,,,,,,0,,,,,,,,,,,,,Somewhat agree,Neither agree nor disagree,Somewhat disagree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Strongly agree,Never,Rarely,Always,Student,Female,22,Rent,Google Maps,Yes,2,0,0,No,,Other non-US citizen status,
Walk,12,"Every day, including weekends",Often,Sometimes,Often,Sometimes,Rarely,2,Convenience,3,30,Often,Never,Rarely,Never,Often,1,Rarely,Never,Rarely,Never,Rarely,Rarely,Sometimes,Somewhat agree,Strongly agree,Strongly agree,1,2,Strongly agree,Strongly agree,Neither agree nor disagree,Strongly agree,Neither agree nor disagree,Somewhat agree,Somewhat disagree,Rarely,Sometimes,Often,Student,Male,24,Rent,Google Maps,Yes,3,0,2,Yes,3,Other non-US citizen status,
Walk,25,Every weekday (M-F),Rarely,Sometimes,Often,Rarely,Never,4,Convenience,4,25,Often,Never,Sometimes,Rarely,Always,1,Sometimes,Rarely,Often,Rarely,Rarely,Sometimes,Never,Neither agree nor disagree,Strongly agree,Strongly agree,0,2,Somewhat disagree,Somewhat agree,Neither agree nor disagree,Somewhat agree,Somewhat agree,Somewhat disagree,Somewhat disagree,Sometimes,Sometimes,Always,Student,Female,27,Rent,Google Maps,No,,,,Yes,18,Other non-US citizen status,
Walk,15,"Every day, including weekends",Often,Sometimes,Often,Rarely,Sometimes,7,Convenience,10,60,Never,Sometimes,Rarely,Rarely,Always,1,Never,Never,Always,Often,Rarely,Rarely,Sometimes,Strongly agree,Neither agree nor disagree,Neither agree nor disagree,1,2,Strongly agree,Somewhat disagree,Strongly agree,Neither agree nor disagree,Neither agree nor disagree,Strongly agree,Strongly agree,Often,Always,Always,Student,Male,19,Rent,Google Maps,No,,,,No,,Other non-US citizen status,
Walk,17,Every weekday (M-F),Sometimes,Sometimes,Sometimes,Never,Never,0,,,,,,,,,1,Rarely,Never,Always,Rarely,Rarely,Sometimes,Sometimes,Somewhat agree,Somewhat disagree,Somewhat agree,0,1,Somewhat disagree,Somewhat disagree,Strongly agree,Somewhat disagree,Neither agree nor disagree,Neither agree nor disagree,Strongly agree,Never,Never,Sometimes,Student,Male,23,Rent,Apple Maps,No,,,,Yes,16,US Citizen,Yes
Walk,10,3-4 days,Rarely,Rarely,Sometimes,Never,Never,0,,,,,,,,,0,,,,,,,,,,,,,Strongly disagree,Strongly agree,Neither agree nor disagree,Somewhat agree,Neither agree nor disagree,Strongly disagree,Strongly agree,Rarely,Often,Sometimes,Student,Female,25,Rent,Google Maps,No,,,,Yes,25,Other non-US citizen status,
Bus,25,3-4 days,Sometimes,Rarely,Sometimes,Rarely,Rarely,2,Convenience,2,30,Sometimes,Never,Never,Rarely,Often,0,,,,,,,,,,,,,Somewhat agree,Neither agree nor disagree,Neither agree nor disagree,Somewhat disagree,Neither agree nor disagree,Somewhat disagree,Neither agree nor disagree,Rarely,Rarely,Rarely,Student,Female,24,Rent,Google Maps,Prefer not to say,,,,Yes,20,Other non-US citizen status,
Walk,15,Every weekday (M-F),Sometimes,Sometimes,Rarely,Never,Never,0,,,,,,,,,0,,,,,,,,,,,,,Neither agree nor disagree,Neither agree nor disagree,Somewhat disagree,Strongly agree,Neither agree nor disagree,Strongly agree,Strongly agree,Never,Never,Often,Student,Female,26,Rent,Google Maps,No,,,,No,,Other non-US citizen status,
Bus,15,3-4 days,Often,Sometimes,Often,Sometimes,Sometimes,0,,,,,,,,,0,,,,,,,,,,,,,Somewhat agree,Neither agree nor disagree,Neither agree nor disagree,Somewhat agree,Somewhat disagree,Neither agree nor disagree,Somewhat agree,Sometimes,Rarely,Always,Student,Female,30,Rent,Google Maps,No,,,,Yes,28,Other non-US citizen status,
Bus,10,"Every day, including weekends",Always,Sometimes,Often,Never,Never,0,,,,,,,,,0,,,,,,,,,,,,,Strongly disagree,Strongly disagree,Somewhat disagree,Strongly agree,Neither agree nor disagree,Strongly agree,Strongly agree,Rarely,Rarely,Often,Student,Female,26,Rent,Google Maps,No,,,,No,,Other non-US citizen status,
Bus,20,3-4 days,Often,Sometimes,Often,Sometimes,Never,0,,,,,,,,,5,Often,Never,Sometimes,Never,Never,Rarely,Sometimes,Strongly agree,Somewhat agree,Strongly agree,0,0,Neither agree nor disagree,Strongly agree,Strongly disagree,Strongly agree,Neither agree nor disagree,Strongly agree,Strongly agree,Sometimes,Rarely,Rarely,Student,Male,26,Rent,Google Maps,Yes,2,0,1,Yes,19,Other non-US citizen status,
Bus,21,"Every day, including weekends",Often,Rarely,Sometimes,Rarely,Never,0,,,,,,,,,2,Sometimes,Never,Often,Sometimes,Rarely,Sometimes,Rarely,Strongly agree,Somewhat agree,Somewhat agree,2,0,Somewhat agree,Strongly agree,Somewhat agree,Strongly agree,Somewhat disagree,Somewhat agree,Somewhat agree,Sometimes,Rarely,Often,Student,Male,26,Rent,Google Maps,No,,,,Yes,18,Other non-US citizen status,
Walk,25,Every weekday (M-F),Sometimes,Rarely,Rarely,Never,Never,1,Convenience,0,0,Rarely,Never,Rarely,Rarely,Often,0,,,,,,,,,,,,,Neither agree nor disagree,Somewhat disagree,Neither agree nor disagree,Strongly agree,Somewhat agree,Somewhat agree,Somewhat agree,Never,Never,Always,Student,Female,26,Rent,Google Maps,No,,,,Yes,25,Other non-US citizen status,
Walk,20,3-4 days,Often,Sometimes,Sometimes,Sometimes,Never,0,,,,,,,,,0,,,,,,,,,,,,,Strongly agree,Somewhat agree,Neither agree nor disagree,Strongly agree,Neither agree nor disagree,Somewhat agree,Somewhat agree,Sometimes,Sometimes,Always,Student,Female,24,Rent,Google Maps,Yes,2,0,0,Yes,21,Other non-US citizen status,
Bus,20,Every weekday (M-F),Often,Sometimes,Always,Sometimes,Rarely,0,,,,,,,,,3,Often,Never,Often,Sometimes,Rarely,Rarely,Rarely,Somewhat agree,Somewhat agree,Strongly agree,1,0,Somewhat agree,Somewhat agree,Somewhat disagree,Neither agree nor disagree,Somewhat disagree,Somewhat agree,Somewhat agree,Sometimes,Rarely,Always,Student,Female,28,Rent,Google Maps,No,,,,Yes,27,Other non-US citizen status,
Bus,60,Every weekday (M-F),Always,Rarely,Rarely,Rarely,Rarely,0,,,,,,,,,0,,,,,,,,,,,,,Somewhat agree,Strongly agree,Somewhat disagree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Often,Rarely,Always,Faculty/Staff,Male,,,Google Maps,Yes,2,0,2,Yes,18,US Citizen,Yes
Walk,20,Every weekday (M-F),Sometimes,Sometimes,Always,Never,Never,1,Safety,0,0,Often,Never,Rarely,Often,Rarely,0,,,,,,,,,,,,,Somewhat agree,Somewhat disagree,Neither agree nor disagree,Somewhat agree,Strongly agree,Strongly agree,Strongly agree,Rarely,Rarely,Often,Student,Female,25,Rent,Google Maps,Yes,5,0,1,Yes,19,Other non-US citizen status,
Bus,30,3-4 days,Sometimes,Often,Always,Often,Rarely,1,Convenience,1,20,Often,Rarely,Sometimes,Rarely,Sometimes,0,,,,,,,,,,,,,Strongly agree,Strongly agree,Neither agree nor disagree,Strongly agree,Neither agree nor disagree,Somewhat disagree,Somewhat agree,Often,Often,Always,Student,Female,29,Rent,Google Maps,No,,,,No,,Other non-US citizen status,
Bus,30,Every weekday (M-F),Always,Sometimes,Often,Sometimes,Never,2,Safety,2,10,Often,Never,Rarely,Never,Never,0,,,,,,,,,,,,,Neither agree nor disagree,Somewhat disagree,Neither agree nor disagree,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat agree,Often,Often,Often,Student,Female,23,Rent,Google Maps,Yes,4,0,2,No,,Other non-US citizen status,
Bus,35,Every weekday (M-F),Often,Sometimes,Often,Often,Never,1,Convenience,0,0,Often,Never,Rarely,Rarely,Often,3,Sometimes,Rarely,Often,Sometimes,Rarely,Sometimes,Sometimes,Neither agree nor disagree,Strongly disagree,Strongly agree,1,1,Somewhat agree,Neither agree nor disagree,Neither agree nor disagree,Strongly agree,Somewhat disagree,Somewhat agree,Somewhat agree,Sometimes,Often,Often,Student,Female,30,Rent,Google Maps,Yes,2,0,1,Yes,18,Other non-US citizen status,
Walk,,Every weekday (M-F),Sometimes,Sometimes,Sometimes,Sometimes,Sometimes,3,Convenience,,,Sometimes,Sometimes,Sometimes,Sometimes,Sometimes,0,,,,,,,,,,,,,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat agree,Sometimes,Sometimes,Sometimes,Student,Female,18,Rent,Google Maps,No,,,,No,,Permanent Resident (Green Card Holder),
Walk,10,1-2 days,Often,Sometimes,Often,Sometimes,Never,2,I don't drive,1,20,Sometimes,Never,Rarely,Never,Sometimes,0,,,,,,,,,,,,,Somewhat agree,Somewhat agree,Somewhat disagree,Strongly agree,Neither agree nor disagree,Somewhat disagree,Neither agree nor disagree,Often,Sometimes,Sometimes,Student,Female,24,Rent,Google Maps,No,,,,Yes,21,Other non-US citizen status,
Bus,40,3-4 days,Always,Sometimes,Often,Rarely,Sometimes,1,Convenience,0,0,Sometimes,Never,Rarely,Rarely,Always,6,Often,Rarely,Always,Often,Rarely,Rarely,Often,Neither agree nor disagree,Somewhat agree,Neither agree nor disagree,0,0,Somewhat agree,Strongly agree,Somewhat agree,Somewhat disagree,Neither agree nor disagree,Somewhat agree,Somewhat agree,Often,Always,Often,Student,Male,22,Rent,Google Maps,Yes,3,0,3,Yes,18,US Citizen,Yes
Bus,15,3-4 days,Always,Sometimes,Rarely,Rarely,Never,1,Safety,0,0,Never,Never,Rarely,Never,Always,0,,,,,,,,,,,,,Strongly agree,Somewhat disagree,Neither agree nor disagree,Strongly agree,Somewhat agree,Somewhat agree,Somewhat agree,Sometimes,Always,Often,Student,Female,29,Rent,Google Maps,No,,,,No,,Other non-US citizen status,
Bus,30,Every weekday (M-F),Always,Sometimes,Rarely,Rarely,Never,1,I don't drive,0,0,Rarely,Never,Rarely,Never,Always,0,,,,,,,,,,,,,Somewhat agree,Somewhat agree,Strongly agree,Strongly agree,Neither agree nor disagree,Neither agree nor disagree,Somewhat agree,Often,Rarely,Often,Student,Male,27,Rent,Google Maps,No,,,,No,,Other non-US citizen status,
Drive,30,Every weekday (M-F),Never,Sometimes,Sometimes,Sometimes,Never,2,Convenience,2,50,Never,Never,Sometimes,Rarely,Sometimes,7,Sometimes,Never,Sometimes,Sometimes,Rarely,Sometimes,Sometimes,Strongly agree,Strongly agree,Strongly agree,0,3 or more,Strongly agree,Strongly agree,Neither agree nor disagree,Strongly agree,Somewhat agree,Somewhat agree,Somewhat agree,Always,Always,Always,Faculty/Staff,Male,29,Rent,Google Maps,Yes,2,0,1,Yes,24,Other non-US citizen status,
Bus,20,Every weekday (M-F),Always,Rarely,Rarely,Often,Rarely,0,,,,,,,,,2,Sometimes,Never,Sometimes,Rarely,Never,Never,Never,Somewhat agree,Strongly agree,Somewhat agree,1,0,Somewhat agree,Strongly agree,Neither agree nor disagree,Somewhat agree,Somewhat agree,Strongly agree,Neither agree nor disagree,Often,Often,Often,Student,Female,24,Rent,Google Maps,No,,,,Yes,18,US Citizen,Yes
Walk,15,Every weekday (M-F),Often,Never,Always,Rarely,Never,0,,,,,,,,,1,Often,Never,Always,Always,Never,Sometimes,Never,Strongly agree,Strongly agree,Neither agree nor disagree,1,2,Strongly disagree,Strongly agree,Strongly agree,Somewhat disagree,Strongly agree,Somewhat disagree,Neither agree nor disagree,Rarely,Rarely,Always,Student,Male,20,Rent,Google Maps,Yes,2,0,2,Yes,16,US Citizen,Yes
Bus,25,"Every day, including weekends",Always,Rarely,,Rarely,Sometimes,1,Convenience,0,0,Always,Never,Never,Rarely,Sometimes,0,,,,,,,,,,,,,Strongly disagree,Somewhat agree,Somewhat disagree,Strongly agree,Neither agree nor disagree,Strongly agree,Somewhat agree,Rarely,Rarely,Often,Student,Male,27,Rent,Google Maps,No,,,,No,,Other non-US citizen status,
Walk,20,3-4 days,Sometimes,Rarely,Always,Rarely,Never,1,Convenience,0,0,Never,Never,Sometimes,Rarely,Always,0,,,,,,,,,,,,,Somewhat agree,Strongly disagree,Somewhat disagree,Strongly agree,Strongly disagree,Strongly agree,Somewhat agree,Rarely,Sometimes,Always,Student,Female,23,Rent,Google Maps,No,,,,Yes,22,Other non-US citizen status,
Bus,20,"Every day, including weekends",Always,Rarely,Sometimes,Never,Sometimes,0,,,,,,,,,0,,,,,,,,,,,,,Somewhat agree,Somewhat disagree,Neither agree nor disagree,Strongly disagree,Strongly agree,Neither agree nor disagree,Somewhat agree,Often,Often,Always,Student,Male,27,Rent,Google Maps,No,,,,Yes,23,Other non-US citizen status,
Bus,25,Every weekday (M-F),Always,Sometimes,Often,Never,Never,0,,,,,,,,,0,,,,,,,,,,,,,Strongly disagree,Somewhat agree,Somewhat disagree,Somewhat agree,Neither agree nor disagree,Somewhat disagree,Strongly agree,Often,Rarely,Often,Student,Male,23,Rent,Google Maps,No,,,,Yes,19,Other non-US citizen status,
Walk,15,1-2 days,Often,Sometimes,Always,Rarely,Never,4,Convenience,3,20,Often,Rarely,Rarely,Rarely,Often,0,,,,,,,,,,,,,Somewhat agree,Somewhat agree,Somewhat agree,Neither agree nor disagree,Neither agree nor disagree,Somewhat disagree,Strongly agree,Never,Sometimes,Often,Faculty/Staff,Female,24,Rent,Google Maps,No,,,,Yes,20,Other non-US citizen status,
Walk,20,Every weekday (M-F),Rarely,Sometimes,Sometimes,Sometimes,Never,0,,,,,,,,,2,Sometimes,Never,Rarely,Rarely,Sometimes,Sometimes,Sometimes,Neither agree nor disagree,Neither agree nor disagree,Somewhat agree,0,0,Somewhat agree,Strongly agree,Neither agree nor disagree,Neither agree nor disagree,Somewhat disagree,Somewhat agree,Somewhat agree,Rarely,Never,Rarely,Student,Male,22,Rent,Google Maps,Yes,2,0,1,Yes,21,Other non-US citizen status,
Walk,20,3-4 days,Rarely,Rarely,Often,Never,Never,1,Fast,0,0,Rarely,Rarely,Sometimes,Rarely,Sometimes,0,,,,,,,,,,,,,Somewhat agree,Somewhat disagree,Strongly disagree,Somewhat disagree,Somewhat agree,Somewhat agree,Somewhat agree,Rarely,Rarely,Sometimes,Student,Male,24,Rent,Google Maps,No,,,,Yes,21,Other non-US citizen status,
Drive,12,1-2 days,Rarely,Often,Often,Always,Never,1,Convenience,1,18,Rarely,Sometimes,Rarely,Rarely,Sometimes,5,Often,Often,Often,Often,Sometimes,Rarely,Never,Strongly agree,Strongly agree,Strongly agree,0,1,Neither agree nor disagree,Strongly agree,Somewhat agree,Neither agree nor disagree,Somewhat disagree,Neither agree nor disagree,Somewhat disagree,Always,Always,Never,Student,Male,26,Rent,Google Maps,Yes,2,0,1,Yes,17,Other non-US citizen status,
Drive,15,Every weekday (M-F),Sometimes,Often,Often,Often,Often,1,Convenience,3,75,Rarely,Never,Sometimes,Rarely,Always,7,Often,Rarely,Often,Often,Sometimes,Sometimes,Sometimes,Neither agree nor disagree,Somewhat agree,Somewhat agree,3 or more,2,Strongly agree,Somewhat agree,Somewhat agree,Somewhat agree,Neither agree nor disagree,Somewhat agree,Somewhat agree,Often,Always,Often,Student,Male,25,Rent,Google Maps,Yes,2,0,2,Yes,24,Other non-US citizen status,
Bus,20,3-4 days,Often,Sometimes,Sometimes,,Never,2,Do not want to drive when intoxicated,1,15,Rarely,Never,Sometimes,Never,Often,5,Sometimes,Rarely,Rarely,Never,Rarely,Never,Rarely,Somewhat agree,Strongly agree,Strongly agree,0,0,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat disagree,Somewhat agree,Neither agree nor disagree,Often,Sometimes,Often,Student,Female,21,Rent,Apple Maps,No,,,,Yes,17,Other non-US citizen status,
Walk,,Every weekday (M-F),Sometimes,Rarely,Always,Rarely,Sometimes,0,,,,,,,,,0,,,,,,,,,,,,,Strongly disagree,Somewhat agree,Somewhat agree,Somewhat disagree,Neither agree nor disagree,Somewhat agree,Somewhat disagree,,,,Student,Male,,Rent,Google Maps,No,,,,Yes,,Other non-US citizen status,
Walk,22,3-4 days,Rarely,Rarely,Often,Rarely,Rarely,1,I don't drive,4,200,Rarely,Never,Sometimes,Rarely,Rarely,1,Sometimes,Rarely,Always,Often,Rarely,Sometimes,Often,Strongly agree,Strongly agree,Strongly agree,2,2,Somewhat agree,Somewhat agree,Strongly disagree,Somewhat agree,Somewhat disagree,Strongly agree,Strongly agree,Never,Often,Often,Student,Male,24,Rent,Apple Maps,Yes,2,0,1,Yes,21,Other non-US citizen status,
Walk,5,3-4 days,Often,Sometimes,Rarely,Rarely,Never,1,Convenience,0,0,Often,Never,Never,Never,Sometimes,0,,,,,,,,,,,,,Neither agree nor disagree,Somewhat disagree,Somewhat agree,Strongly agree,Somewhat agree,Strongly agree,Strongly agree,Never,Never,Always,Student,Female,26,Rent,Google Maps,No,,,,No,,Other non-US citizen status,
Bus,30,Every weekday (M-F),Always,Rarely,Always,Always,Never,0,,,,,,,,,2,Sometimes,Rarely,Sometimes,Rarely,Never,Sometimes,Never,Neither agree nor disagree,Strongly agree,Strongly agree,1,0,Somewhat agree,Strongly agree,Somewhat disagree,Somewhat agree,Neither agree nor disagree,Somewhat disagree,Somewhat agree,Always,Always,Sometimes,Student,Female,26,"Neither, I live with others who pay",Google Maps,Yes,4,0,4,Yes,21,Other non-US citizen status,
Walk,20,1-2 days,Always,Sometimes,Often,Rarely,Never,1,Convenience,2,24.45,Often,Never,Rarely,Never,Always,0,,,,,,,,,,,,,Strongly disagree,Somewhat agree,Neither agree nor disagree,Somewhat agree,Somewhat agree,Somewhat disagree,Somewhat disagree,Sometimes,Sometimes,Often,Student,Female,27,Rent,Apple Maps,Yes,2,0,0,Yes,24,US Citizen,Yes
Walk,20,Every weekday (M-F),Sometimes,Rarely,Sometimes,Rarely,Rarely,0,,,,,,,,,0,,,,,,,,,,,,,Somewhat agree,Neither agree nor disagree,Neither agree nor disagree,Somewhat agree,Strongly agree,Neither agree nor disagree,Somewhat agree,Sometimes,Sometimes,Often,Student,Male,28,Own,Google Maps,Prefer not to say,,,,Yes,27,Other non-US citizen status,
Walk,20,"Every day, including weekends",Sometimes,Sometimes,Sometimes,Rarely,Sometimes,1,Convenience,1,30,Rarely,Never,Rarely,Rarely,Always,2,Sometimes,Sometimes,Sometimes,Rarely,Rarely,Rarely,Sometimes,Somewhat agree,Somewhat disagree,Somewhat agree,1,0,Somewhat agree,Somewhat agree,Neither agree nor disagree,Somewhat agree,Neither agree nor disagree,Somewhat disagree,Somewhat agree,Never,Never,Often,Student,Male,,Rent,Google Maps,No,,,,Yes,16,US Citizen,Yes
Drive,25,"Every day, including weekends",Rarely,Sometimes,Often,Sometimes,Never,0,,,,,,,,,7,Often,Rarely,Often,Often,Sometimes,Sometimes,Sometimes,Somewhat agree,Strongly agree,Somewhat agree,0,0,Somewhat disagree,Neither agree nor disagree,Somewhat disagree,Somewhat disagree,Somewhat agree,Somewhat agree,Neither agree nor disagree,Often,Often,Often,Student,Male,31,Rent,Google Maps,Yes,2,0,2,Yes,18,Foreigner,
Drive,10,"Every day, including weekends",Rarely,Sometimes,Often,Sometimes,Never,0,,,,,,,,,7,Always,Never,Sometimes,Sometimes,Sometimes,Often,Rarely,Strongly agree,Strongly agree,Somewhat agree,0,0,Strongly disagree,Somewhat disagree,Neither agree nor disagree,Somewhat agree,Neither agree nor disagree,Somewhat agree,Strongly agree,Rarely,Rarely,Rarely,Student,Male,27,Rent,Google Maps,No,,,,Yes,18,Other non-US citizen status,
Walk,10,Every weekday (M-F),Sometimes,Sometimes,Rarely,Rarely,Never,1,Weather-related,0,0,Never,Never,Never,Never,Never,0,,,,,,,,,,,,,Somewhat agree,Neither agree nor disagree,Somewhat disagree,Somewhat agree,Somewhat disagree,Strongly agree,Strongly agree,Rarely,Rarely,Rarely,Student,Female,25,Rent,Google Maps,No,,,,No,,Chinese,
Walk,18,"Every day, including weekends",Often,Rarely,Sometimes,Rarely,Never,1,Convenience,0,0,Never,Never,Rarely,Never,Always,0,,,,,,,,,,,,,Somewhat agree,Neither agree nor disagree,Neither agree nor disagree,Strongly agree,Strongly agree,Somewhat disagree,Somewhat disagree,Sometimes,Sometimes,Often,Student,Female,24,Rent,Google Maps,No,,,,Yes,21,Other non-US citizen status,
Drive,20,"Every day, including weekends",Often,Rarely,Sometimes,Sometimes,Never,1,Convenience,4,80,Sometimes,Never,Sometimes,Rarely,Often,6,Often,Rarely,Often,Sometimes,Rarely,Sometimes,Often,Somewhat agree,Strongly agree,Somewhat agree,0,3 or more,Somewhat agree,Neither agree nor disagree,Somewhat agree,Somewhat agree,Neither agree nor disagree,Neither agree nor disagree,Strongly agree,Sometimes,Rarely,Often,Student,Male,28,Rent,Google Maps,No,,,,Yes,22,Other non-US citizen status,
Walk,10,Every weekday (M-F),Always,Sometimes,Often,Never,Rarely,0,,,,,,,,,0,,,,,,,,,,,,,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat disagree,Somewhat disagree,Somewhat agree,Somewhat agree,Rarely,Rarely,Often,Student,Male,21,Rent,Google Maps,No,,,,No,,Other non-US citizen status,
Walk,9,"Every day, including weekends",Sometimes,Rarely,Sometimes,Sometimes,Sometimes,2,Convenience,2,50,Sometimes,Sometimes,Sometimes,Sometimes,Sometimes,1,Rarely,Sometimes,Sometimes,Sometimes,Sometimes,Sometimes,Sometimes,Neither agree nor disagree,Neither agree nor disagree,Somewhat disagree,1,1,Somewhat disagree,Neither agree nor disagree,Somewhat disagree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Sometimes,Sometimes,Sometimes,Student,Male,25,Rent,Google Maps,Yes,0,0,1,No,,Other non-US citizen status,
Walk,15,"Every day, including weekends",Rarely,Rarely,Often,Never,Rarely,1,Convenience,2,11,Often,Never,Never,Never,Sometimes,0,,,,,,,,,,,,,Somewhat disagree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Somewhat disagree,Somewhat agree,Strongly agree,Often,Often,Sometimes,Student,Female,20,Rent,Google Maps,No,,,,No,,Other non-US citizen status,
Bus,20,3-4 days,Sometimes,Always,Sometimes,Always,Always,4,Convenience,3,40,Never,Never,Never,Never,Always,0,,,,,,,,,,,,,Neither agree nor disagree,Somewhat agree,Neither agree nor disagree,Strongly agree,Somewhat disagree,Neither agree nor disagree,Somewhat agree,Sometimes,Sometimes,Always,Student,Female,25,Rent,Google Maps,Yes,2,0,1,No,,Other non-US citizen status,
Drive,30,Every weekday (M-F),Often,Sometimes,Sometimes,Never,Rarely,0,,,,,,,,,7,Sometimes,Never,Sometimes,Sometimes,Rarely,Sometimes,Sometimes,Somewhat disagree,Strongly agree,Strongly agree,0,0,Somewhat agree,Strongly agree,Somewhat disagree,Neither agree nor disagree,Somewhat disagree,Somewhat agree,Strongly disagree,Always,Always,Often,Student,Male,24,Rent,Google Maps,Yes,2,0,1,Yes,21,Other non-US citizen status,
Walk,8,"Every day, including weekends",Sometimes,Sometimes,Often,Rarely,Never,1,Weather-related,0,0,Often,Never,Sometimes,Often,Often,0,,,,,,,,,,,,,Somewhat agree,Somewhat agree,Strongly disagree,Strongly agree,Somewhat agree,Somewhat disagree,Neither agree nor disagree,Rarely,Sometimes,Always,Student,Female,36,Rent,Google Maps,No,,,,No,,Other non-US citizen status,
